SequenceLength,SampleNo,WallClockTime,CPUTime,LogWallClockTime,LogSequenceLength
50,27,0.920422077,0.921003834,-0.082922935,3.912023005
50,28,0.917762041,0.918201458,-0.085817137,3.912023005
50,29,0.917603731,0.918104818,-0.085989647,3.912023005
50,30,0.920979738,0.92161705,-0.082317243,3.912023005
50,31,0.914732933,0.915078159,-0.089123133,3.912023005
50,32,0.916863918,0.917271128,-0.086796217,3.912023005
50,33,0.913762808,0.914004258,-0.090184251,3.912023005
50,34,0.912913799,0.913256065,-0.091113818,3.912023005
50,35,0.915117264,0.915346315,-0.088703065,3.912023005
50,36,0.913436174,0.913630982,-0.090541775,3.912023005
50,37,0.912567854,0.912781283,-0.091492836,3.912023005
50,38,0.912096739,0.912395231,-0.092009221,3.912023005
50,39,0.913948298,0.914282669,-0.089981276,3.912023005
50,40,0.913446665,0.913789521,-0.09053029,3.912023005
50,41,0.914035082,0.914299023,-0.089886325,3.912023005
50,42,0.914417028,0.914691369,-0.089468545,3.912023005
50,43,0.922076225,0.922723833,-0.081127385,3.912023005
50,44,0.91838026,0.918749062,-0.085143748,3.912023005
50,45,0.912909031,0.913199047,-0.091119041,3.912023005
50,46,0.91730094,0.917781599,-0.086319682,3.912023005
50,47,0.916425943,0.916933108,-0.087274019,3.912023005
50,48,0.917674303,0.918213408,-0.085912741,3.912023005
50,49,0.914824486,0.915121189,-0.089023051,3.912023005
50,50,0.915439129,0.915909811,-0.088351406,3.912023005
50,51,0.91516614,0.915570745,-0.088649656,3.912023005
50,52,0.915766716,0.916123177,-0.087993624,3.912023005
50,53,0.918247938,0.918728116,-0.08528784,3.912023005
50,54,0.919822216,0.920595547,-0.083574871,3.912023005
50,55,0.9206388,0.92141855,-0.082687502,3.912023005
50,56,0.9165833,0.916992375,-0.087102327,3.912023005
50,57,0.914040089,0.914291873,-0.089880847,3.912023005
50,58,0.914104223,0.914377216,-0.089810684,3.912023005
50,59,0.913442135,0.913715633,-0.090535249,3.912023005
50,60,0.913424015,0.913704187,-0.090555087,3.912023005
50,61,0.912600994,0.912870061,-0.091456521,3.912023005
50,62,0.913669586,0.913968467,-0.090286276,3.912023005
50,63,0.913666248,0.913977527,-0.09028993,3.912023005
50,64,0.919390917,0.920217678,-0.084043875,3.912023005
50,65,0.913836479,0.914187176,-0.090103631,3.912023005
50,66,0.917973757,0.91834974,-0.085586476,3.912023005
50,67,0.915333986,0.915798117,-0.088466268,3.912023005
50,68,0.915304661,0.915551035,-0.088498306,3.912023005
50,69,0.915935993,0.916255039,-0.087808793,3.912023005
50,70,0.912409306,0.912697303,-0.091666589,3.912023005
50,71,0.910056829,0.910339492,-0.094248232,3.912023005
50,72,0.915883064,0.916271217,-0.087866582,3.912023005
50,73,0.918319225,0.91879998,-0.085210209,3.912023005
50,74,0.918744087,0.919249712,-0.084747664,3.912023005
50,75,0.962050438,0.962563681,-0.038688399,3.912023005
50,76,0.933361053,0.934043553,-0.068963172,3.912023005
50,77,0.924393892,0.924961622,-0.078617008,3.912023005
50,78,0.969583035,0.970761444,-0.030889161,3.912023005
50,79,0.95944047,0.959902591,-0.041405008,3.912023005
50,80,0.958009243,0.958364462,-0.042897853,3.912023005
50,81,0.959542036,0.959859322,-0.041299154,3.912023005
50,82,0.95318675,0.953806649,-0.047944434,3.912023005
50,83,0.971529722,0.972710924,-0.028883417,3.912023005
50,84,0.944474459,0.945076964,-0.057126634,3.912023005
50,85,0.94313097,0.943716711,-0.058550119,3.912023005
50,86,0.942989826,0.94343726,-0.058699785,3.912023005
50,87,0.950476885,0.950992593,-0.050791436,3.912023005
50,88,0.916061163,0.916499697,-0.087672145,3.912023005
50,89,0.915942907,0.916260563,-0.087801245,3.912023005
